code_region;region;code_ancienne_region;ancienne_region;code_departement;departement;grand_secteur_d_activite;annee;trimestre;dernier_jour_du_trimestre;effectifs_salaries_brut;a_jour;sexe_majoritaire
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 H̫tellerie-restauration;2012;2;30/06/2012;2209;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 H̫tellerie-restauration;2012;4;31/12/2012;2155;Oui;Feminin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 H̫tellerie-restauration;2014;trois;30/09/2014;2144;Oui;Feminin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 H̫tellerie-restauration;2015;1;31/03/2015;2040;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 H̫tellerie-restauration;2016;1;31/03/2016;2106;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 H̫tellerie-restauration;2016;2;30/06/2016;2176;Oui;M
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 H̫tellerie-restauration;2018;4;31/12/2018;2145;Oui;F
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 H̫tellerie-restauration;2019;1;31/03/2019;2173;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 H̫tellerie-restauration;2019;3;30/09/2019;2227;Non;Feminin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 H̫tellerie-restauration;2019;4;31/12/2019;2321;Oui;Feminin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS4 H̫tellerie-restauration;2020;2;30/06/2020;2188;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;1998;1;31/03/1998;15488;Non;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;1998;3;30/09/1998;16125;Oui;M
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;1998;4;31/12/1998;16171;Oui;F
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;1999;1;31/03/1999;16321;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;1999;3;30/09/1999;16981;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2000;1;31/03/2000;17023;Oui;M
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2000;4;31/12/2000;17452;Oui;Feminin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2002;1;31/03/2002;17751;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2004;1;31/03/2004;17723;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2004;2;30/06/2004;17881;Oui;M
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2004;4;31/12/2004;17865;Oui;F
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2005;3;30/09/2005;17783;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2006;1;31/03/2006;17583;O;Feminin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2007;3;30/09/2007;17757;Oui;Feminin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2008;4;31/12/2008;18584;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2009;1;31/03/2009;18187;Oui;Feminin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2009;2;30/06/2009;18358;Oui;Feminin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2010;1;31/03/2010;18560;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2011;2;30/06/2011;18958;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2011;3;30/09/2011;19004;Oui;M
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2012;4;31/12/2012;18916;Oui;F
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2013;1;31/03/2013;19325;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2013;2;30/06/2013;19434;Oui;Feminin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2013;3;30/09/2013;19522;Oui;Feminin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2013;4;31/12/2013;19416;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2015;4;31/12/2015;19451;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2016;2;30/06/2016;19746;Oui;M
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2016;3;30/09/2016;19659;Oui;F
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2016;4;31/12/2016;19532;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2017;3;30/09/2017;19785;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2018;2;30/06/2018;20009;Oui;M
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2018;3;30/09/2018;19830;Oui;Feminin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2019;1;31/03/2019;19899;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS5 Autres services marchands hors int̩rim;2019;2;30/06/2019;20213;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;1998;3;30/09/1998;3941;Oui;M
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;1998;4;31/12/1998;4038;Oui;F
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;1999;1;31/03/1999;3181;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;1999;3;30/09/1999;4326;Oui;Feminin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2000;4;31/12/2000;4239;Oui;Feminin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2001;3;30/09/2001;3835;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2001;4;31/12/2001;3781;Oui;Feminin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2002;2;30/06/2002;3797;Oui;Feminin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2002;3;30/09/2002;3581;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2003;1;31/03/2003;2898;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2003;2;30/06/2003;3300;Oui;M
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2003;4;31/12/2003;3198;Oui;F
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2004;1;31/03/2004;2986;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2004;3;30/09/2004;3384;Oui;Feminin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2004;4;31/12/2004;2974;Oui;Feminin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2006;1;31/03/2006;3332;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2007;1;31/03/2007;4077;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2007;2;30/06/2007;4413;Oui;M
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2007;3;30/09/2007;4193;Oui;F
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2009;3;30/09/2009;2936;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2009;4;31/12/2009;2956;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2010;1;31/03/2010;3135;Oui;M
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2013;1;31/03/2013;3001;Oui;Feminin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2014;2;30/06/2014;3868;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2014;4;31/12/2014;3311;Oui;Masculin
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2015;2;30/06/2015;4053;Oui;M
52;Pays de la Loire;52;Pays de la Loire;53;Mayenne;GS6 Int̩rim;2017;2;30/06/2017;5067;Oui;F